name,slug,positions,team,age,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,# of Dunks,Corner 3s %3PA,Corner 3s 3P%,Attempted Heaves,# of Heaves
RJ Nembhard Jr.,nembhrj01,SHOOTING GUARD,CLEVELAND CAVALIERS,22.0,14.0,0.0,63.0,6.0,18.0,0.0,2.0,3.0,4.0,3.0,4.0,12.0,1.0,0.0,3.0,2.0,15.0,2022.0,0.333,8.0,0.889,0.389,0.333,0.111,0.056,0.111,0.375,0.857,0.0,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0
Raef LaFrentz,lafrera01,CENTER,['DALLAS MAVERICKS' 'DENVER NUGGETS'],26.53846153846154,48.15384615384615,38.30769230769231,1279.4615384615386,201.3846153846154,431.7692307692308,47.23076923076923,125.92307692307692,59.23076923076923,83.38461538461539,87.92307692307692,208.15384615384616,52.23076923076923,25.76923076923077,88.3076923076923,45.69230769230769,161.15384615384616,509.2307692307692,2003.5384615384614,0.4560769230769231,12.161538461538461,0.716,0.3751538461538461,0.09107692307692307,0.0596923076923077,0.19,0.28400000000000003,0.5043846153846154,0.6194615384615385,0.33253846153846156,0.3483846153846154,0.3929230769230769,0.313,0.7359230769230769,0.9314166666666667,0.04823076923076923,27.692307692307693,0.268,0.39476923076923076,0.0,0.0
Rafael Araújo,araujra01,CENTER,TORONTO RAPTORS,25.0,46.333333333333336,25.0,528.3333333333334,52.0,128.33333333333334,0.3333333333333333,1.3333333333333333,25.333333333333332,37.333333333333336,41.333333333333336,90.33333333333333,13.666666666666666,17.0,5.333333333333333,37.0,100.0,129.66666666666666,2006.0,0.40499999999999997,7.5,0.992,0.381,0.26699999999999996,0.15233333333333335,0.19166666666666665,0.008,0.40633333333333327,0.518,0.304,0.3666666666666667,0.35333333333333333,0.1665,0.7076666666666668,1.0,0.04766666666666667,5.0,0.6665,0.0,0.0,0.0
Rafer Alston,alstora01,POINT GUARD,HOUSTON ROCKETS,30.5,45.1,34.0,1338.35,168.25,441.4,66.65,189.95,66.5,90.6,16.7,112.3,214.8,55.85,7.25,81.8,92.75,469.65,2007.5,0.3742,15.14,0.5913,0.24380000000000002,0.13069999999999998,0.053700000000000005,0.16315,0.40869999999999995,0.3923,0.45655,0.37944999999999995,0.31110000000000004,0.3345,0.3444,0.16695,0.83795,5e-05,0.05,0.16245,0.3583,1.05,0.0
Raja Bell,bellra01,SHOOTING GUARD,['CHARLOTTE BOBCATS' 'PHOENIX SUNS'],30.863636363636363,38.72727272727273,28.227272727272727,1127.409090909091,147.04545454545453,338.1363636363636,54.90909090909091,134.22727272727272,48.18181818181818,59.59090909090909,22.727272727272727,90.9090909090909,69.0,26.90909090909091,6.818181818181818,39.86363636363637,100.0909090909091,397.1818181818182,2007.8636363636363,0.4518181818181818,18.586363636363636,0.5877727272727272,0.09181818181818181,0.061454545454545456,0.07654545454545454,0.35809090909090907,0.4122272727272728,0.43554545454545457,0.62495,0.5431363636363636,0.30523809523809525,0.36590909090909096,0.4545,0.7158636363636364,0.971909090909091,0.0054090909090909085,2.409090909090909,0.42918181818181816,0.4933181818181818,0.7272727272727273,0.0
Rajon Rondo,rondora01,POINT GUARD,BOSTON CELTICS,29.074074074074073,43.81481481481482,32.407407407407405,1264.6666666666667,171.33333333333334,379.1111111111111,21.296296296296298,64.22222222222223,44.81481481481482,74.66666666666667,40.44444444444444,156.40740740740742,335.48148148148147,65.70370370370371,5.444444444444445,117.18518518518519,89.22222222222223,408.77777777777777,2016.0740740740741,0.4388148148148148,11.525925925925925,0.7583703703703704,0.3534814814814815,0.18462962962962964,0.05925925925925926,0.1608888888888889,0.24162962962962964,0.464037037037037,0.6022222222222223,0.32333333333333336,0.4007777777777778,0.3563703703703704,0.323,0.21455555555555555,0.6534444444444445,0.005925925925925926,3.259259259259259,0.20807407407407408,0.306,0.7037037037037037,0.0
Rakeem Christmas,chrisra01,POWER FORWARD,INDIANA PACERS,24.5,15.0,0.0,112.5,10.5,22.5,0.0,0.0,10.5,14.5,13.5,15.0,2.0,1.5,3.0,4.0,19.0,31.5,2016.5,0.721,2.05,1.0,0.8140000000000001,0.128,0.0235,0.0235,0.0,0.721,0.778,0.364,0.0,0.0,,0.8685,,0.0815,2.5,,,0.0,0.0
Ramon Sessions,sessira01,POINT GUARD,WASHINGTON WIZARDS,27.129032258064516,37.70967741935484,8.258064516129032,874.8709677419355,125.29032258064517,293.83870967741933,13.483870967741936,41.03225806451613,113.38709677419355,143.38709677419354,17.387096774193548,80.61290322580645,152.03225806451613,24.0,2.5806451612903225,63.96774193548387,49.225806451612904,377.4516129032258,2014.1290322580646,0.4087741935483871,9.580645161290322,0.8336451612903226,0.3688709677419355,0.2454516129032258,0.10112903225806451,0.11658064516129032,0.16638709677419353,0.42216129032258065,0.5480322580645162,0.31806451612903225,0.30138709677419356,0.3565862068965517,0.3197741935483871,0.38912903225806456,0.7631290322580645,0.015096774193548386,5.387096774193548,0.17058064516129032,0.26882758620689656,0.16129032258064516,0.0
Randolph Morris,morrira01,CENTER,['ATLANTA HAWKS' 'NEW YORK KNICKS'],22.5,18.5,0.5,109.5,13.0,30.5,0.0,0.0,9.0,16.5,6.75,19.25,1.75,3.25,1.75,7.5,25.0,35.0,2008.5,0.3755,7.15,1.0,0.29125,0.38375,0.28525,0.04,0.0,0.3755,0.56675,0.292,0.3,0.3333333333333333,,0.443,,0.02675,0.5,,,0.0,0.0
Randy Brown,brownra02,POINT GUARD,BOSTON CELTICS,33.0,29.0,11.666666666666666,502.0,38.666666666666664,93.66666666666667,0.0,1.0,10.666666666666666,17.333333333333332,8.666666666666666,33.0,63.666666666666664,26.333333333333332,4.333333333333333,24.333333333333332,56.333333333333336,88.0,2002.0,0.26466666666666666,9.466666666666667,0.9956666666666667,0.4776666666666667,0.03166666666666667,0.12666666666666668,0.35966666666666663,0.004333333333333333,0.2663333333333333,0.306,0.588,0.2705,0.4085,0.0,0.8225,,0.0026666666666666666,0.6666666666666666,0.0,,0.6666666666666666,0.0
